FOODS,HOBBIES,HOUSEHOLD,d
18141,2878,5087,d_142
16915,2703,4643,d_143
15323,2298,4189,d_144
14630,2558,4213,d_145
15464,2822,4494,d_146
16530,3116,4992,d_147
17915,3140,5427,d_148
19008,3124,5536,d_149
15491,2837,4314,d_150
13457,2515,3828,d_151
13565,2522,3843,d_152
14731,2570,4150,d_153
21397,3757,5879,d_154
23387,3681,5933,d_155
21577,2734,4862,d_156
16825,2308,3900,d_157
19385,2660,4551,d_158
18922,2939,4741,d_159
19122,2690,4915,d_160
19641,2787,5251,d_161
22573,3568,6345,d_162
22079,3175,6285,d_163
19331,2493,4768,d_164
17762,2553,4317,d_165
16805,2528,4112,d_166
16738,2392,4317,d_167
19505,2913,4931,d_168
21333,3552,5984,d_169
21346,3202,5786,d_170
17203,2875,4561,d_171
15379,2550,4002,d_172
15844,2512,4131,d_173
15826,2483,4469,d_174
18194,3077,5085,d_175
20353,3666,6265,d_176
19889,3185,5725,d_177
15676,2749,4470,d_178
14496,2520,4179,d_179
14207,2330,3967,d_180
14523,2527,4193,d_181
16711,2700,5131,d_182
18794,3714,6445,d_183
19672,2951,6054,d_184
18297,2990,5320,d_185
17788,2768,4919,d_186
19290,2978,4969,d_187
16481,2566,4666,d_188
18719,2684,5191,d_189
22291,3517,6151,d_190
22867,2811,6328,d_191
19237,2428,4689,d_192
19192,2626,4395,d_193
17236,2784,4558,d_194
17803,2459,4446,d_195
20262,2958,5324,d_196
23357,3223,6423,d_197
24373,3132,6404,d_198
20767,2655,5089,d_199
17832,2601,4833,d_200
16681,2397,4603,d_201
16613,2306,4457,d_202
18594,3007,5403,d_203
21992,3568,6698,d_204
24065,2983,6925,d_205
17855,2577,4892,d_206
15800,2371,4446,d_207
15068,2690,4177,d_208
14616,2501,4297,d_209
16363,2943,4962,d_210
20449,3506,6428,d_211
21993,2431,6202,d_212
15733,1939,4413,d_213
13750,2263,4337,d_214
14788,2316,4619,d_215
18505,2624,5170,d_216
20388,3092,5728,d_217
23937,3513,6582,d_218
19081,2284,5560,d_219
21743,2581,5834,d_220
18482,2744,4908,d_221
17462,2288,4695,d_222
16918,2548,4582,d_223
19975,2748,5523,d_224
23036,3160,6834,d_225
24875,2949,6808,d_226
19155,2257,4726,d_227
17899,2167,4579,d_228
16848,2283,4374,d_229
19053,2543,4747,d_230
18696,2550,5687,d_231
22345,3198,6652,d_232
22705,2853,6476,d_233
17218,2355,4794,d_234
16017,2250,4408,d_235
15245,2328,4223,d_236
15254,2318,4287,d_237
18562,2787,5357,d_238
22717,2992,6757,d_239
23802,2919,6507,d_240
17037,2492,4561,d_241
16115,2393,4280,d_242
15712,2316,4165,d_243
15503,2462,4418,d_244
20642,3363,6177,d_245
27178,3938,8196,d_246
26994,3012,7208,d_247
22299,2983,5173,d_248
18876,2569,4669,d_249
19340,2190,4383,d_250
19367,2356,4343,d_251
21904,2952,5129,d_252
26152,3448,6330,d_253
26780,2864,6296,d_254
21598,2749,5054,d_255
20286,2764,4377,d_256
20503,2334,4577,d_257
19143,2448,4525,d_258
21228,2928,5729,d_259
27704,3545,7177,d_260
26041,2983,7103,d_261
19880,2549,5163,d_262
17184,2358,4660,d_263
15683,2565,4193,d_264
15824,2306,4272,d_265
18939,2890,5301,d_266
23055,3413,6683,d_267
23194,3177,6505,d_268
17135,2581,4800,d_269
15736,2361,4340,d_270
14886,2675,4581,d_271
15679,2765,4538,d_272
18609,3046,5225,d_273
22851,3758,6610,d_274
22638,3022,6193,d_275
15441,2808,4446,d_276
18137,2835,5067,d_277
17526,2616,4666,d_278
19801,2985,5116,d_279
19957,3014,5625,d_280
26236,3734,6917,d_281
27911,3100,6876,d_282
20030,2437,4811,d_283
18567,2388,4233,d_284
19506,2457,4129,d_285
18691,2602,4854,d_286
21652,2778,5325,d_287
25772,3486,6664,d_288
26203,2688,6457,d_289
19385,2663,4725,d_290
19738,2416,4547,d_291
17172,2373,4383,d_292
16538,2350,4226,d_293
18711,2764,5032,d_294
23660,3229,6656,d_295
23044,3203,6506,d_296
18295,2516,4763,d_297
18554,2285,4815,d_298
23261,2460,5066,d_299
14489,1140,2798,d_300
16733,2631,4634,d_301
17121,2948,5223,d_302
19262,2615,5257,d_303
15668,2449,4261,d_304
14907,2769,3908,d_305
14770,2393,3926,d_306
18321,3151,4796,d_307
21160,3164,5403,d_308
27404,4238,6487,d_309
25427,3318,6333,d_310
21909,2623,4688,d_311
20495,2661,4111,d_312
18883,2581,3989,d_313
19365,2747,4235,d_314
21637,2955,4846,d_315
25296,3417,6073,d_316
27114,2830,5799,d_317
22015,2831,4305,d_318
20528,2443,3942,d_319
20201,2485,4108,d_320
22490,2894,4260,d_321
21275,2914,4696,d_322
24797,3270,6092,d_323
23652,2802,5633,d_324
19961,2627,4480,d_325
19255,2620,4387,d_326
19578,2763,4321,d_327
20555,2945,4682,d_328
25966,3350,5330,d_329
23432,2580,3946,d_330
13,0,0,d_331
19210,3244,5578,d_332
17379,2538,4734,d_333
17401,2548,4842,d_334
17149,2427,4965,d_335
23501,3581,6570,d_336
25041,2849,5861,d_337
15898,1825,4084,d_338
23631,3082,6340,d_339
21115,2649,4987,d_340
18627,2526,4668,d_341
21132,2433,4934,d_342
22325,2957,5123,d_343
27327,3468,6348,d_344
27712,2708,6302,d_345
21688,2203,4315,d_346
19807,2467,4366,d_347
21772,2844,4428,d_348
18816,2110,3789,d_349
21831,2631,5001,d_350
26918,3371,6526,d_351
27677,2977,5805,d_352
22421,2797,5330,d_353
16683,1988,3516,d_354
18539,2508,4301,d_355
17552,2414,4068,d_356
19766,2419,5019,d_357
27425,3827,7326,d_358
23909,2585,6093,d_359
17725,2426,4551,d_360
16927,2462,4160,d_361
16204,2244,3960,d_362
16251,2550,4436,d_363
19221,2789,5189,d_364
24127,3696,6539,d_365
24108,3212,6257,d_366
18278,2227,4683,d_367
17948,2492,4684,d_368
20989,3012,5850,d_369
20819,2682,5114,d_370
25333,3308,6463,d_371
30722,4026,8281,d_372
30180,3156,6739,d_373
22951,2546,5184,d_374
20626,2438,5044,d_375
21170,2323,5086,d_376
22467,2605,4855,d_377
22101,2676,5086,d_378
30252,3926,7579,d_379
31167,3283,7454,d_380
24331,2335,5009,d_381
18774,2295,4031,d_382
19494,2484,4900,d_383
17551,2579,5065,d_384
18998,2860,5746,d_385
25763,3581,7278,d_386
25964,3137,7237,d_387
21666,2430,6122,d_388
17853,2564,4773,d_389
16958,2460,4697,d_390
17631,2440,5140,d_391
19849,2599,5422,d_392
24666,3723,7380,d_393
25699,3314,7268,d_394
19498,2440,5332,d_395
17124,2471,4764,d_396
17347,2525,4930,d_397
21248,3025,5959,d_398
23537,3121,5885,d_399
29739,3809,7771,d_400
29217,3462,7646,d_401
24562,2635,5506,d_402
23686,2604,5242,d_403
20866,2586,5156,d_404
21797,2593,5369,d_405
24112,2602,5608,d_406
28103,3590,7866,d_407
29549,3292,7771,d_408
24391,2481,5629,d_409
21406,2351,5343,d_410
20598,2247,4996,d_411
22828,2643,5281,d_412
22504,2804,5643,d_413
26869,3552,7483,d_414
26962,3103,7629,d_415
20626,2777,5784,d_416
18225,2430,4878,d_417
18902,2349,4976,d_418
18815,2253,4947,d_419
20793,2817,5445,d_420
26487,3559,7043,d_421
27345,3133,7365,d_422
19662,2321,5199,d_423
17673,2467,4509,d_424
17683,2376,4724,d_425
16997,2366,4516,d_426
21607,3145,5980,d_427
26537,4013,7913,d_428
29224,3102,7457,d_429
23227,2818,5314,d_430
24983,2767,5283,d_431
21111,2282,4925,d_432
23815,2530,5023,d_433
28602,3085,5858,d_434
34587,3757,7294,d_435
27883,2290,6037,d_436
23870,2672,5451,d_437
21164,2586,5050,d_438
21572,2859,5144,d_439
21116,2597,4855,d_440
22686,3234,6018,d_441
27546,3623,7377,d_442
28433,3224,7050,d_443
19680,2848,5144,d_444
18939,2303,4825,d_445
17589,2392,4718,d_446
17751,2590,4483,d_447
20271,2613,5259,d_448
26514,3245,6949,d_449
26894,3014,6856,d_450
19078,2670,4922,d_451
17829,2459,4560,d_452
17621,2498,4329,d_453
17733,2282,4515,d_454
20502,2825,5650,d_455
25131,3534,6982,d_456
25978,3407,6739,d_457
19645,2393,5318,d_458
21643,2846,5801,d_459
21481,2736,5022,d_460
24223,3228,5508,d_461
24116,3180,5636,d_462
29358,3268,6575,d_463
31323,3375,6831,d_464
26266,2204,5007,d_465
23671,2074,4688,d_466
23528,2090,4586,d_467
21741,2203,4220,d_468
25591,2279,4944,d_469
31472,2714,6686,d_470
26101,2306,5362,d_471
24377,2063,5143,d_472
24516,2244,4998,d_473
21413,2289,4975,d_474
20836,1986,4501,d_475
24572,2338,5401,d_476
28523,2855,6551,d_477
29991,2644,6879,d_478
21320,2175,5310,d_479
20500,1951,5051,d_480
19877,1947,4799,d_481
21049,2164,4750,d_482
24619,2424,5754,d_483
27755,2790,6694,d_484
25055,2798,6000,d_485
24793,2652,5962,d_486
20884,2620,5116,d_487
19506,2547,5097,d_488
20298,2896,5615,d_489
26898,3774,8857,d_490
32202,3743,8998,d_491
33122,3287,7501,d_492
24514,2967,5813,d_493
26183,2556,5267,d_494
25754,2879,4954,d_495
24494,2773,5268,d_496
27811,3280,5810,d_497
32770,3513,7026,d_498
32818,3315,8811,d_499
29649,2787,7200,d_500
26197,2431,6446,d_501
23692,2736,6502,d_502
24772,2500,6510,d_503
30641,3201,7956,d_504
31590,3826,9022,d_505
28421,2927,7691,d_506
24353,2784,6963,d_507
22653,2513,6801,d_508
22145,2603,6720,d_509
21436,2854,6474,d_510
25388,3602,7487,d_511
28070,3248,8692,d_512
28785,3207,8517,d_513
22147,2609,7091,d_514
20473,2737,6161,d_515
20323,2527,6035,d_516
21063,2468,6054,d_517
24863,3434,8080,d_518
27386,3985,9223,d_519
29233,2636,8830,d_520
26523,2314,7026,d_521
29682,2414,7446,d_522
24727,1930,5999,d_523
25331,2081,6996,d_524
29846,2638,7507,d_525
30605,2677,8149,d_526
31165,3367,8140,d_527
26688,2647,6435,d_528
23631,2630,6326,d_529
24229,2711,6132,d_530
24277,2567,6233,d_531
25931,3300,7351,d_532
29842,3692,8814,d_533
31949,3216,8524,d_534
23498,2868,6654,d_535
21854,2596,5968,d_536
20397,2661,5858,d_537
21435,3137,6292,d_538
24826,3405,7171,d_539
27794,3593,8157,d_540
28210,3390,8352,d_541
21925,2735,6204,d_542
21127,2301,6051,d_543
20424,2126,5804,d_544
20162,2277,6099,d_545
22830,2457,6553,d_546
24118,2783,7687,d_547
25927,2444,7776,d_548
20822,2094,6017,d_549
20591,2353,6587,d_550
23954,2563,7453,d_551
25294,2604,7362,d_552
28727,2833,7951,d_553
29657,2810,8809,d_554
31801,2629,8579,d_555
27608,2268,7148,d_556
23779,2166,6449,d_557
24043,2023,6235,d_558
26042,2007,6959,d_559
25861,2445,8159,d_560
32103,2716,9262,d_561
33640,2647,9511,d_562
26301,2055,7674,d_563
25053,2075,7184,d_564
26310,2254,6933,d_565
24791,2452,7162,d_566
25186,2490,7781,d_567
29402,2885,9234,d_568
30722,2912,9730,d_569
23145,2071,7194,d_570
21221,1954,7031,d_571
19995,2203,6724,d_572
19900,2012,6640,d_573
22808,2439,7797,d_574
27425,2812,9727,d_575
29159,2754,9108,d_576
21742,2355,6913,d_577
20118,2112,6242,d_578
18979,2061,6061,d_579
19819,1952,6532,d_580
24435,2992,9665,d_581
30247,3375,11008,d_582
30330,2609,9880,d_583
32349,2469,9707,d_584
22229,2308,7342,d_585
22931,2102,6821,d_586
23038,2224,7313,d_587
24337,2327,8111,d_588
29363,3017,10838,d_589
32936,2831,10882,d_590
23144,2041,7787,d_591
23088,2151,7131,d_592
22506,1896,6616,d_593
20926,2028,7188,d_594
24991,2510,8858,d_595
32157,3065,10737,d_596
30901,3190,10195,d_597
22105,2195,7560,d_598
19639,2507,7130,d_599
18408,2195,6462,d_600
19301,2096,7160,d_601
22378,2483,8773,d_602
27922,3211,10756,d_603
27876,2775,10711,d_604
19740,2280,7156,d_605
18975,1942,7062,d_606
18298,2052,6582,d_607
18276,2193,6762,d_608
21928,2555,8173,d_609
27507,2985,10489,d_610
27352,2742,9642,d_611
23833,2522,8486,d_612
24338,2362,7130,d_613
24361,2476,7383,d_614
20913,2434,6728,d_615
24515,2432,7641,d_616
31141,2950,9949,d_617
29673,2757,9442,d_618
24230,2189,7371,d_619
23636,2246,6413,d_620
21331,2020,6618,d_621
21622,2220,6156,d_622
24707,2568,7777,d_623
28872,3042,10312,d_624
29499,2743,9995,d_625
24260,2187,7237,d_626
19213,1973,6683,d_627
18531,2112,6460,d_628
17729,2249,6191,d_629
20116,2380,7215,d_630
24247,2815,9627,d_631
24911,2763,9313,d_632
18082,2117,6513,d_633
17205,2050,6164,d_634
16486,2128,5776,d_635
16225,2094,5993,d_636
21648,2777,7438,d_637
26069,3015,9463,d_638
25456,2812,8916,d_639
18854,2342,6385,d_640
19666,2373,6041,d_641
17521,2001,5453,d_642
20551,2518,7982,d_643
24094,2954,8466,d_644
31396,3307,10376,d_645
29166,2915,10464,d_646
23990,2145,6922,d_647
22357,2029,6128,d_648
21404,2072,6207,d_649
22229,2191,6337,d_650
25947,2413,7362,d_651
30152,3237,9495,d_652
31469,3004,9044,d_653
24447,2202,6564,d_654
20713,2120,5475,d_655
20250,1876,5709,d_656
21876,1967,5870,d_657
22120,2396,7100,d_658
27847,3157,9437,d_659
26083,2609,8884,d_660
20534,2253,6543,d_661
21783,2205,6286,d_662
25814,2195,7199,d_663
16806,1064,4039,d_664
15448,1958,6017,d_665
20047,2335,7634,d_666
22240,2579,7913,d_667
17631,2253,6592,d_668
16702,1927,5860,d_669
16091,1964,5490,d_670
16222,2036,5610,d_671
19942,2471,7976,d_672
28613,3432,10451,d_673
28916,2780,9244,d_674
24834,2661,7842,d_675
20223,2292,6304,d_676
23165,2237,5782,d_677
22771,2134,6219,d_678
23991,2386,7217,d_679
29897,2927,8749,d_680
31226,2877,8423,d_681
22891,2345,5853,d_682
22120,2223,5955,d_683
22416,2300,5300,d_684
20762,2194,5715,d_685
23976,2368,6558,d_686
30620,3105,8665,d_687
28690,2891,8472,d_688
22260,2364,6401,d_689
22052,2257,5945,d_690
23370,2508,5904,d_691
22648,2159,6065,d_692
23188,2795,6865,d_693
28583,2976,8456,d_694
28624,2586,7777,d_695
24903,1865,5855,d_696
11,0,0,d_697
19822,2172,7707,d_698
19236,2183,7667,d_699
21208,2377,8762,d_700
24343,2555,10256,d_701
24322,2352,9025,d_702
25935,2028,7073,d_703
16828,1558,5701,d_704
22648,2145,7391,d_705
26156,2352,7733,d_706
23357,2412,7973,d_707
30987,2784,9516,d_708
32464,2682,8848,d_709
24699,2000,6818,d_710
23130,2041,6049,d_711
22884,1865,4783,d_712
22345,2141,5307,d_713
25522,2416,6538,d_714
33861,2956,9061,d_715
30024,2630,7553,d_716
23223,1968,5423,d_717
23516,1979,5406,d_718
20568,2041,6193,d_719
20109,2248,6013,d_720
22682,2400,7730,d_721
29292,3147,9828,d_722
26056,2612,8373,d_723
21587,2603,6697,d_724
17919,2052,5585,d_725
16904,2954,5736,d_726
16685,2852,5430,d_727
19707,3372,6773,d_728
26805,4286,9602,d_729
25966,3840,8621,d_730
18993,2806,5997,d_731
17484,2919,5146,d_732
16038,2574,4911,d_733
17846,2961,5944,d_734
25582,4200,9294,d_735
34887,5210,10935,d_736
30430,2868,8260,d_737
20219,2551,6222,d_738
22707,2347,6579,d_739
22953,2650,6334,d_740
20991,2199,6509,d_741
24889,2702,7955,d_742
31984,3364,10504,d_743
29611,3886,10413,d_744
25937,3241,7439,d_745
25415,3132,7594,d_746
27334,3334,7883,d_747
21202,2646,6361,d_748
25413,3507,9340,d_749
28916,4454,11787,d_750
29237,3826,11590,d_751
22970,3020,8648,d_752
18853,2695,6700,d_753
20025,2967,7209,d_754
20867,2895,7646,d_755
21138,3329,8096,d_756
27466,4759,10806,d_757
29355,3916,10871,d_758
21493,2985,7542,d_759
18291,2617,6420,d_760
18071,2846,6967,d_761
19375,3278,7721,d_762
24951,4230,10270,d_763
32356,5171,12245,d_764
33910,3380,10957,d_765
24929,2622,8266,d_766
22419,2233,6584,d_767
23062,2271,6695,d_768
21086,2160,6524,d_769
23972,2516,7804,d_770
30868,3347,10674,d_771
29767,3851,10490,d_772
25051,3230,8157,d_773
23643,2832,7317,d_774
21754,2912,7142,d_775
22943,3075,7149,d_776
25947,3506,8048,d_777
28892,4029,10731,d_778
28515,3700,10355,d_779
21001,2928,7436,d_780
19166,2982,6864,d_781
19435,3013,7008,d_782
19562,2914,7166,d_783
21670,3627,7871,d_784
26036,4387,10197,d_785
27124,3294,10215,d_786
20071,2389,7207,d_787
19691,2117,6824,d_788
19087,2621,6550,d_789
20338,2341,6975,d_790
26055,2846,9166,d_791
32020,3315,11075,d_792
24003,2695,7750,d_793
21706,3496,9320,d_794
22632,3612,8398,d_795
23573,3541,8480,d_796
21193,2893,8088,d_797
25379,3771,8906,d_798
31473,4289,11059,d_799
30830,4268,11346,d_800
23785,3075,8157,d_801
23043,3109,7598,d_802
21393,3172,6876,d_803
22549,3243,6900,d_804
24774,3322,7986,d_805
28709,4569,10367,d_806
29264,4249,10477,d_807
23237,3377,7488,d_808
20672,3075,7292,d_809
19375,2775,6665,d_810
18442,3141,6891,d_811
21730,3319,7780,d_812
26066,4384,10407,d_813
25582,3967,10382,d_814
19172,3319,7460,d_815
17401,2876,6782,d_816
17545,3327,6735,d_817
17554,3095,6827,d_818
19704,3522,7980,d_819
22315,3849,9165,d_820
25399,3295,10208,d_821
18096,2097,7252,d_822
18544,2471,7129,d_823
20574,2541,8243,d_824
21954,2313,7474,d_825
25476,2767,8707,d_826
27819,3072,9921,d_827
29669,3751,9783,d_828
24738,3109,7521,d_829
21957,2775,6941,d_830
21410,3038,6898,d_831
22813,3350,6775,d_832
22375,3581,7541,d_833
30396,4903,10086,d_834
25844,3125,8421,d_835
23482,3249,7878,d_836
22246,3273,7366,d_837
23815,3505,7291,d_838
21219,3225,7493,d_839
22988,3395,8299,d_840
26413,4278,10139,d_841
28247,4086,10340,d_842
22301,3219,8126,d_843
19944,3089,7253,d_844
18765,3182,6988,d_845
20410,3304,7188,d_846
22671,3961,8449,d_847
25491,4191,9461,d_848
23971,3579,8499,d_849
23786,3503,8988,d_850
18871,3316,7111,d_851
17287,3140,6540,d_852
18359,2920,6846,d_853
23075,3648,9363,d_854
28849,4518,11441,d_855
31298,4693,11511,d_856
26292,3934,9019,d_857
22851,3188,7770,d_858
24576,3701,7634,d_859
23404,3377,7385,d_860
25723,3645,8234,d_861
30454,4272,9921,d_862
33633,4159,10372,d_863
25646,3338,7785,d_864
24396,3170,7059,d_865
23761,3262,6919,d_866
23801,3499,6888,d_867
27608,3644,8515,d_868
32134,4131,10044,d_869
27319,3783,8588,d_870
23283,3247,7588,d_871
20606,3322,7249,d_872
20674,3312,7084,d_873
21402,3367,7002,d_874
24488,3895,8320,d_875
27911,4409,9956,d_876
29458,3689,10128,d_877
22707,3478,7933,d_878
21243,3256,7104,d_879
20832,3144,6380,d_880
21410,3113,6934,d_881
25490,3365,7898,d_882
31071,4001,9877,d_883
30544,4326,9953,d_884
26314,3728,8674,d_885
26303,3188,7751,d_886
31602,3946,8451,d_887
27106,2883,6794,d_888
28648,3578,8581,d_889
28951,3777,9104,d_890
31319,3548,9757,d_891
26562,3044,7854,d_892
27131,2704,7418,d_893
24293,3000,7286,d_894
25863,3051,7447,d_895
28372,3532,9375,d_896
30521,3675,10989,d_897
32337,3634,10701,d_898
26504,3079,8041,d_899
22897,3257,7783,d_900
22318,3044,7105,d_901
23872,3013,7036,d_902
24589,3375,8230,d_903
27666,4373,9488,d_904
28334,3823,9882,d_905
22238,2834,7131,d_906
21349,3101,6854,d_907
20791,2835,7842,d_908
21528,3066,7222,d_909
24752,3465,8626,d_910
27739,3812,10121,d_911
27807,3508,9165,d_912
21587,3064,7112,d_913
20370,2992,6800,d_914
20925,3214,7116,d_915
25116,3540,8653,d_916
28261,4131,9271,d_917
32470,4312,10323,d_918
30305,3708,10426,d_919
27486,3546,8117,d_920
26383,3079,7232,d_921
25500,2610,6969,d_922
24957,2796,7133,d_923
28796,3280,8623,d_924
30667,3716,10529,d_925
33862,3458,10200,d_926
27951,3123,7679,d_927
25096,2873,7175,d_928
24005,2961,6766,d_929
26910,2904,7829,d_930
26324,3361,8340,d_931
30301,3931,10199,d_932
30396,3629,10869,d_933
24274,2867,8096,d_934
21256,2934,7435,d_935
22326,3130,7177,d_936
21472,2861,7460,d_937
25269,3566,8278,d_938
30500,3850,10486,d_939
33880,4035,10662,d_940
23550,2758,7892,d_941
22994,2823,7146,d_942
22293,3110,7053,d_943
22012,2809,6889,d_944
28387,3753,9481,d_945
32728,4115,11129,d_946
32305,2676,9760,d_947
34391,2580,10101,d_948
27725,2105,7969,d_949
24197,1955,7176,d_950
26048,2087,7290,d_951
28227,2339,8118,d_952
34533,2625,10442,d_953
37186,4095,10459,d_954
29345,2817,7603,d_955
24918,2675,7070,d_956
26313,2859,7023,d_957
26569,3028,7170,d_958
28463,3949,8559,d_959
34404,4049,10713,d_960
35849,4047,11074,d_961
25785,2946,8044,d_962
22579,2937,7055,d_963
21622,2764,6895,d_964
20877,2713,7233,d_965
23911,3495,8875,d_966
30161,4349,11491,d_967
31063,3972,11175,d_968
22380,3243,7161,d_969
21241,3077,6746,d_970
20242,2947,6770,d_971
20733,2926,6989,d_972
23512,3538,8452,d_973
29453,4511,10477,d_974
29944,4012,10440,d_975
21646,3334,7913,d_976
23793,3685,9252,d_977
22848,3446,7606,d_978
25012,3750,8453,d_979
24442,3907,8985,d_980
33455,4104,11218,d_981
34435,4096,11357,d_982
25777,3262,7964,d_983
24139,3310,7095,d_984
24914,3023,6809,d_985
23807,3358,6854,d_986
26630,3492,7971,d_987
31913,4455,10213,d_988
31863,4164,10316,d_989
25771,3472,7593,d_990
23735,2892,6586,d_991
22082,3262,7333,d_992
21028,3152,6358,d_993
22782,3756,7799,d_994
27938,4242,9863,d_995
29137,4211,10004,d_996
21483,3059,7317,d_997
19129,3236,6592,d_998
19365,3572,6588,d_999
19276,3235,6749,d_1000
22628,3476,7773,d_1001
27956,4571,9927,d_1002
26978,4066,9621,d_1003
21653,3273,7132,d_1004
19904,3198,6427,d_1005
21171,3394,6571,d_1006
18964,2588,5482,d_1007
25460,4337,9930,d_1008
31225,4350,11518,d_1009
33754,4429,10190,d_1010
22912,3014,7046,d_1011
24026,3178,6883,d_1012
23798,2982,6250,d_1013
22136,3250,6567,d_1014
24859,3208,7393,d_1015
31660,4227,9830,d_1016
29899,4065,9941,d_1017
26128,3202,7066,d_1018
23272,3063,5940,d_1019
20371,3034,5850,d_1020
20322,3325,5821,d_1021
24493,3898,7384,d_1022
29763,4446,10378,d_1023
28723,3969,9897,d_1024
21947,3286,6877,d_1025
19297,3277,5948,d_1026
18414,3296,6205,d_1027
19361,3052,6286,d_1028
21528,3742,7593,d_1029
26150,4127,9770,d_1030
24928,4243,9275,d_1031
19210,3205,6230,d_1032
21251,3347,6695,d_1033
25127,3593,7419,d_1034
14419,1424,3996,d_1035
15937,2704,7432,d_1036
19287,3604,8655,d_1037
25392,3921,8874,d_1038
26047,3645,7395,d_1039
26438,3934,7652,d_1040
21925,3426,6168,d_1041
24432,3590,7129,d_1042
25910,3667,7322,d_1043
31504,4133,8813,d_1044
28556,3666,8202,d_1045
24558,3092,6003,d_1046
22078,3288,6056,d_1047
22275,2877,5759,d_1048
22776,3284,5609,d_1049
25283,3881,6999,d_1050
28481,4114,8933,d_1051
30129,3673,9295,d_1052
22834,3277,6363,d_1053
21308,3130,5900,d_1054
21815,3829,6048,d_1055
22707,3403,6301,d_1056
21926,3609,6588,d_1057
27088,4507,8879,d_1058
23377,3709,7829,d_1059
24675,3552,7062,d_1060
22944,2722,5411,d_1061
20,0,0,d_1062
21267,3646,7814,d_1063
21485,3833,7777,d_1064
23964,3645,8881,d_1065
23246,3251,7624,d_1066
22107,3327,6859,d_1067
25746,2804,6261,d_1068
