event_name,date,weekday,event_day_mean_sales,local_baseline_mean_sales,pct_lift_vs_local_baseline,n_baseline_days_used
Eid al-Fitr,2012-08-19,Sunday,1.4222367989504756,1.3963211982070627,1.855991356192951,6
LaborDay,2012-09-03,Monday,1.4603148573302722,1.0574942604132502,38.09198895884378,6
ColumbusDay,2012-10-08,Monday,1.1082322072810757,1.0049961736088335,10.272281266657233,6
EidAlAdha,2012-10-26,Friday,1.0450311577566416,1.1052968186290586,-5.452441358436805,6
Halloween,2012-10-31,Wednesday,0.8191210232863234,0.9521591778725265,-13.972259857165813,6
VeteransDay,2012-11-11,Sunday,1.4272548376516891,1.2461134798294522,14.536505764068023,6
Thanksgiving,2012-11-22,Thursday,0.718563463430633,0.9576035858751504,-24.962325326513838,6
Chanukah End,2012-12-16,Sunday,1.3136438176451295,1.2839072920083088,2.316096015803942,6
Christmas,2012-12-25,Tuesday,0.00036077402427025254,0.9937159724499836,-99.96369445251234,5
NewYear,2013-01-01,Tuesday,0.789996720236143,0.9723122335191865,-18.750716796308406,5
OrthodoxChristmas,2013-01-07,Monday,1.0992784519514596,1.0304624467038372,6.678167211987743,5
MartinLutherKingDay,2013-01-21,Monday,1.013020662512299,1.0433256805510003,-2.904655622269028,5
SuperBowl,2013-02-03,Sunday,1.3630042636930142,1.33970482125287,1.7391474652121504,5
LentStart,2013-02-13,Wednesday,1.2643817645129551,0.9246703837323713,36.73864619837408,5
ValentinesDay,2013-02-14,Thursday,0.9907838635618236,0.9454957909697169,4.789875642456157,6
PresidentsDay,2013-02-18,Monday,1.1360446047884551,1.0805728654203566,5.133549170376341,6
LentWeek2,2013-02-20,Wednesday,0.9905214824532633,0.9654312889471957,2.598858540562588,5
Purim End,2013-02-24,Sunday,1.4477533617579534,1.4834207937028534,-2.404404205220044,4
StPatricksDay,2013-03-17,Sunday,1.3961954739258773,1.47123647097409,-5.10053948013733,4
Easter,2013-03-31,Sunday,1.129813053460151,1.4109937684486717,-19.92784952535029,5
Pesach End,2013-04-02,Tuesday,1.1361757953427354,1.0018803979446813,13.404334257218311,6
OrthodoxEaster,2013-05-05,Sunday,1.4169563791407018,1.3220400131190555,7.179538068421436,5
Mother's day,2013-05-12,Sunday,1.2263037061331583,1.3450770744506395,-8.830227692787863,5
MemorialDay,2013-05-27,Monday,1.1897999344047228,1.1684432054225429,1.8277935019063825,6
NBAFinalsStart,2013-06-06,Thursday,1.1205641193834044,1.027281075762545,9.080576467508262,5
Father's day,2013-06-16,Sunday,1.3017382748442112,1.4454848584235267,-9.944523648354798,6
NBAFinalsEnd,2013-06-20,Thursday,1.0420137750081995,1.0669973761889144,-2.3414866557545837,4
IndependenceDay,2013-07-04,Thursday,1.2063955395211545,1.1003148573302723,9.640938817119036,5
Ramadan starts,2013-07-09,Tuesday,1.2218104296490653,1.0682464195911228,14.375335806575414,6
Eid al-Fitr,2013-08-08,Thursday,1.144178419153821,1.1161692358150213,2.5094029149036237,6
LaborDay,2013-09-02,Monday,1.5438504427681208,1.1889909259866622,29.845435236352618,6
ColumbusDay,2013-10-14,Monday,1.2081338143653657,1.0908986552968187,10.746659050253287,6
EidAlAdha,2013-10-15,Tuesday,1.0893079698261725,1.0654367552202908,2.240509771126309,6
Halloween,2013-10-31,Thursday,0.8866513611020006,1.0054498742757187,-11.815458553743944,6
VeteransDay,2013-11-11,Monday,1.1937028533945555,1.0644528260631902,12.142391298765968,6
Thanksgiving,2013-11-28,Thursday,0.6506723515906855,1.011479173499508,-35.67120622568093,5
Chanukah End,2013-12-05,Thursday,1.152869793374877,1.0165562479501475,13.409346083859239,5
Christmas,2013-12-25,Wednesday,0.0006559527714004591,1.0408265004919646,-99.93697770271122,5
NewYear,2014-01-01,Wednesday,0.7820596917021975,1.0190357494260414,-23.25493073793707,5
OrthodoxChristmas,2014-01-07,Tuesday,1.0151525090193505,0.9746528916584674,4.155286226255286,6
MartinLutherKingDay,2014-01-20,Monday,1.0726795670711708,1.087351044058161,-1.34928614518399,6
SuperBowl,2014-02-02,Sunday,1.4397179403082978,1.4418989832732043,-0.15126184221001396,6
ValentinesDay,2014-02-14,Friday,1.1121679239094786,1.1152290368426805,-0.27448289383391444,6
PresidentsDay,2014-02-17,Monday,1.1333879960642834,1.131545862031267,0.1627980000483145,6
LentStart,2014-03-05,Wednesday,1.025844539193178,0.9832600852738602,4.330945042628994,5
LentWeek2,2014-03-12,Wednesday,1.1460150869137422,0.9633256805510004,18.964448893156007,5
Purim End,2014-03-16,Sunday,1.4882256477533617,1.5164042855581066,-1.858253638103759,6
StPatricksDay,2014-03-17,Monday,1.0522794358806167,1.1239368098830218,-6.375569638106537,6
Easter,2014-04-20,Sunday,1.276943260085274,1.4864414562151524,-14.093941961448838,5
Pesach End,2014-04-22,Tuesday,1.0061659560511642,1.1078605007106155,-9.179363700955246,6
Cinco De Mayo,2014-05-05,Monday,1.1748114135782224,1.1093538865201704,5.900509102949973,5
Mother's day,2014-05-11,Sunday,1.2522138406034766,1.3917087569694984,-10.023283655251083,5
MemorialDay,2014-05-26,Monday,1.0973761889143983,1.1873204329288292,-7.575397636555488,5
NBAFinalsStart,2014-06-05,Thursday,1.1693998032141686,1.0339455559199735,13.100713719270448,6
NBAFinalsEnd,2014-06-15,Sunday,1.3937028533945557,1.402400787143326,-0.6202174035061581,5
Ramadan starts,2014-06-29,Sunday,1.3188258445391932,1.4404263693014105,-8.44198130177193,5
IndependenceDay,2014-07-04,Friday,1.265759265332896,1.2079370285339455,4.786858539234321,6
Eid al-Fitr,2014-07-29,Tuesday,1.0070514922925549,1.1405050836339783,-11.701271064588486,6
LaborDay,2014-09-01,Monday,1.418694653984913,1.1469170219744178,23.696363974320477,6
EidAlAdha,2014-10-04,Saturday,1.5480157428665136,1.4240680004373019,8.703779762704443,6
ColumbusDay,2014-10-13,Monday,1.1005903574942604,1.1080244889034656,-0.6709356592436216,6
Halloween,2014-10-31,Friday,1.0774024270252542,1.112856674319449,-3.1858772214199367,6
VeteransDay,2014-11-11,Tuesday,1.0688094457199082,0.984639772603039,8.548270693388137,6
Thanksgiving,2014-11-27,Thursday,0.7164316169235815,0.9849076199846944,-27.25900354647323,6
Chanukah End,2014-12-24,Wednesday,0.97136766152837,1.0440406690718267,-6.960744892061006,5
Christmas,2014-12-25,Thursday,0.0006559527714004591,0.9976385700229585,-99.93424945755802,5
NewYear,2015-01-01,Thursday,0.8675631354542473,0.9601115119711381,-9.639336198238693,5
OrthodoxChristmas,2015-01-07,Wednesday,0.9565431288947196,0.9896621843227287,-3.3465010538595017,5
MartinLutherKingDay,2015-01-19,Monday,1.1286323384716301,1.1194326008527387,0.8218214845523965,6
SuperBowl,2015-02-01,Sunday,1.324532633650377,1.4534710834153275,-8.87107086175903,6
ValentinesDay,2015-02-14,Saturday,1.3648409314529353,1.4996009620640647,-8.986392648457924,6
PresidentsDay,2015-02-16,Monday,1.218333879960643,1.1341095441128237,7.426472714653423,6
LentStart,2015-02-18,Wednesday,0.9348966874385044,1.065673991472614,-12.27179278846747,5
LentWeek2,2015-02-25,Wednesday,0.958576582486061,1.0777632010495244,-11.058701804570761,5
Purim End,2015-03-05,Thursday,1.0763857002295836,1.0400295178747132,3.4956875482884135,6
StPatricksDay,2015-03-17,Tuesday,1.0302394227615612,1.0357056958565651,-0.5277824691775123,6
Easter,2015-04-05,Sunday,1.3655624795014758,1.4640144309609708,-6.724793784639932,5
Pesach End,2015-04-11,Saturday,1.4848146933420794,1.4490980649393244,2.464748885317884,6
OrthodoxEaster,2015-04-12,Sunday,1.5473925877336832,1.465818301082322,5.56510220885691,5
Cinco De Mayo,2015-05-05,Tuesday,1.1508363397835355,1.0394500929266426,10.715882139495255,6
Mother's day,2015-05-10,Sunday,1.2472941948179732,1.4335246528916585,-12.991088621882255,6
MemorialDay,2015-05-25,Monday,1.2403082978025581,1.2890182573521374,-3.7788417093205315,6
NBAFinalsStart,2015-06-04,Thursday,1.1453591341423417,1.0549819612987865,8.566703143652996,5
NBAFinalsEnd,2015-06-16,Tuesday,1.0396195473925878,1.1429539739805399,-9.040996307845333,6
Ramadan starts,2015-06-18,Thursday,1.1290587077730403,1.1691111839947523,-3.425891118828936,5
Father's day,2015-06-21,Sunday,1.3582486061003607,1.5138406034765497,-10.2779643391035,6
IndependenceDay,2015-07-04,Saturday,1.2295506723515908,1.4519514594949166,-15.317370679918685,5
Eid al-Fitr,2015-07-18,Saturday,1.4975401771072483,1.505385372253198,-0.5211419806881319,5
LaborDay,2015-09-07,Monday,1.5008855362413906,1.1947523778287963,25.623147029757337,6
EidAlAdha,2015-09-24,Thursday,1.0812397507379468,1.2089154914179512,-10.561179965545156,6
ColumbusDay,2015-10-12,Monday,1.3853722531977697,1.2011151197113807,15.340505706952104,6
Halloween,2015-10-31,Saturday,1.4018694653984913,1.5255384278998578,-8.106577994997881,6
VeteransDay,2015-11-11,Wednesday,1.0934076746474253,1.103072045479392,-0.8761323316616819,6
Thanksgiving,2015-11-26,Thursday,0.7750409970482125,1.125636820815568,-31.146442376799214,6
Chanukah End,2015-12-14,Monday,1.2306329944244014,1.1191811522903685,9.958338013998027,6
Christmas,2015-12-25,Friday,0.0004591669399803214,1.2463889799934404,-99.9631602214597,5
NewYear,2016-01-01,Friday,1.0708756969498197,1.2340570678911118,-13.22316246040014,5
OrthodoxChristmas,2016-01-07,Thursday,1.1788783207609053,1.1743795780037172,0.3830739942562123,6
MartinLutherKingDay,2016-01-18,Monday,1.2574614627746803,1.1891877118180825,5.741208917490235,6
SuperBowl,2016-02-07,Sunday,1.5379796654640865,1.6214627746802228,-5.148629405482373,5
LentStart,2016-02-10,Wednesday,1.2906854706461135,1.1538143653656934,11.862489269410318,5
ValentinesDay,2016-02-14,Sunday,1.5853394555591998,1.6981108560183666,-6.640991667857706,5
PresidentsDay,2016-02-15,Monday,1.5136766152836996,1.2466163769541927,21.422808433016446,6
LentWeek2,2016-02-17,Wednesday,1.198589701541489,1.1823351918661857,1.3747801627766263,5
StPatricksDay,2016-03-17,Thursday,1.1482125286979337,1.227536897343391,-6.462076114952596,5
Purim End,2016-03-24,Thursday,1.1152181042964906,1.2466513611020005,-10.542904047313359,5
Easter,2016-03-27,Sunday,1.5204985241062643,1.740379359352793,-12.63407509775899,6
Pesach End,2016-04-30,Saturday,1.6539521154476877,1.7149283918224558,-3.5556164715407483,6
OrthodoxEaster,2016-05-01,Sunday,1.7393243686454576,1.7681206953099378,-1.6286403264700438,5
Cinco De Mayo,2016-05-05,Thursday,1.3369301410298458,1.2119383404394886,10.313379519376461,5
Mother's day,2016-05-08,Sunday,1.4958674975401771,1.768563463430633,-15.41906589891235,4
